Notification_ID,Title,Description,Type,Priority,Date,Time,Status,Related_ID,Created_By
NTF00443,Appointment Reminder,Patient P1065 has an appointment today.,Appointment,High,2026-06-03,12:45,Unread,P1405,System
NTF00444,Appointment Reminder,Patient P1372 has an appointment today.,Appointment,Medium,2026-07-28,10:15,Unread,P1136,Admin
NTF00445,System Update,System maintenance and backup completed successfully.,System,Low,2026-05-18,16:45,Read,P1310,System
NTF00446,Low Stock Alert,Salbutamol 4mg stock is running low.,Stock Alert,High,2026-05-02,10:45,Unread,P1046,System
NTF00447,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407646.,Fraud Alert,Medium,2026-06-23,08:00,Unread,P1009,System
NTF00448,Low Stock Alert,ORS Sachet stock is running low.,Stock Alert,Medium,2026-06-17,10:00,Read,P1179,Admin
NTF00449,Appointment Reminder,Patient P1124 has an appointment today.,Appointment,High,2026-05-05,20:00,Read,P1014,Pharmacist
NTF00450,System Update,System maintenance and backup completed successfully.,System,Medium,2026-05-10,12:30,Unread,P1403,System
NTF00451,Low Stock Alert,Montelukast 10mg stock is running low.,Stock Alert,High,2026-06-11,07:45,Unread,P1011,System
NTF00452,New Prescription Added,New prescription added for patient P1226.,Prescription,Medium,2026-05-26,13:45,Unread,P1449,Pharmacist
NTF00453,Appointment Reminder,Patient P1397 has an appointment today.,Appointment,Low,2026-05-11,16:30,Unread,P1265,System
NTF00454,Appointment Reminder,Patient P1007 has an appointment today.,Appointment,Low,2026-06-30,13:00,Read,P1028,Admin
NTF00455,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407480.,Fraud Alert,High,2026-07-22,14:45,Read,P1335,Admin
NTF00456,New Prescription Added,New prescription added for patient P1294.,Prescription,Medium,2026-05-16,10:15,Read,P1228,Pharmacist
NTF00457,Medicine Expiring Soon,Ibuprofen 400mg will expire within 30 days.,Expiry Alert,High,2026-06-05,08:45,Read,P1019,Admin
NTF00458,System Update,System maintenance and backup completed successfully.,System,High,2026-07-10,21:00,Unread,P1147,Admin
NTF00459,Medicine Expiring Soon,Levocetirizine 5mg will expire within 12 days.,Expiry Alert,Low,2026-06-07,14:30,Read,P1119,System
NTF00460,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-05-26,11:45,Unread,P1192,System
NTF00461,Low Stock Alert,Rabeprazole 20mg stock is running low.,Stock Alert,High,2026-05-31,19:00,Read,P1373,System
NTF00462,New Prescription Added,New prescription added for patient P1125.,Prescription,High,2026-07-24,11:15,Unread,P1321,Admin
NTF00463,New Prescription Added,New prescription added for patient P1110.,Prescription,Low,2026-06-12,18:00,Unread,P1332,Admin
NTF00464,Low Stock Alert,Ibuprofen 400mg stock is running low.,Stock Alert,Medium,2026-07-04,16:30,Unread,P1356,System
NTF00465,New Prescription Added,New prescription added for patient P1260.,Prescription,Medium,2026-07-12,21:15,Unread,P1434,Pharmacist
NTF00466,Appointment Reminder,Patient P1440 has an appointment today.,Appointment,Medium,2026-05-08,10:15,Unread,P1338,Admin
NTF00467,System Update,System maintenance and backup completed successfully.,System,Medium,2026-05-08,08:30,Read,P1474,System
NTF00468,New Prescription Added,New prescription added for patient P1296.,Prescription,High,2026-07-16,21:45,Unread,P1226,System
NTF00469,Appointment Reminder,Patient P1004 has an appointment today.,Appointment,Medium,2026-06-15,15:00,Unread,P1447,System
NTF00470,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407328.,Fraud Alert,Medium,2026-05-15,09:00,Read,P1199,System
NTF00471,New Prescription Added,New prescription added for patient P1013.,Prescription,Medium,2026-05-03,19:15,Unread,P1385,Admin
NTF00472,Appointment Reminder,Patient P1155 has an appointment today.,Appointment,Medium,2026-07-05,20:45,Read,P1053,Admin
NTF00473,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-05-10,12:30,Unread,P1003,System
NTF00474,System Update,System maintenance and backup completed successfully.,System,Low,2026-07-01,11:15,Unread,P1357,System
NTF00475,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-06-11,13:15,Unread,P1165,System
NTF00476,System Update,System maintenance and backup completed successfully.,System,Low,2026-07-24,12:00,Read,P1200,System
NTF00477,Medicine Expiring Soon,Amoxicillin 250mg will expire within 23 days.,Expiry Alert,High,2026-07-17,17:00,Read,P1419,Admin
NTF00478,Appointment Reminder,Patient P1038 has an appointment today.,Appointment,Medium,2026-07-22,20:45,Read,P1288,Admin
NTF00479,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407259.,Fraud Alert,Low,2026-05-13,17:00,Read,P1486,System
NTF00480,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407237.,Fraud Alert,High,2026-07-25,17:15,Read,P1272,Admin
NTF00481,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-05-19,16:00,Unread,P1245,System
NTF00482,Low Stock Alert,Azithromycin 500mg stock is running low.,Stock Alert,High,2026-07-24,11:30,Read,P1253,Pharmacist
NTF00483,Appointment Reminder,Patient P1486 has an appointment today.,Appointment,Low,2026-06-30,17:45,Unread,P1497,Admin
NTF00484,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-07-23,16:15,Read,P1037,Pharmacist
NTF00485,System Update,System maintenance and backup completed successfully.,System,High,2026-07-14,07:45,Read,P1385,System
NTF00486,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-11,20:30,Read,P1247,Admin
NTF00487,Medicine Expiring Soon,Pantoprazole 40mg will expire within 28 days.,Expiry Alert,High,2026-07-12,10:45,Unread,P1392,System
NTF00488,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-06-06,16:15,Unread,P1260,System
NTF00489,New Prescription Added,New prescription added for patient P1468.,Prescription,Low,2026-05-14,16:00,Unread,P1434,Admin
NTF00490,Appointment Reminder,Patient P1141 has an appointment today.,Appointment,High,2026-06-30,09:15,Read,P1366,Pharmacist
NTF00491,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-05-08,09:30,Read,P1404,Pharmacist
NTF00492,Low Stock Alert,Vitamin D3 60000IU stock is running low.,Stock Alert,Medium,2026-07-18,09:45,Read,P1237,Pharmacist
NTF00493,New Prescription Added,New prescription added for patient P1310.,Prescription,Low,2026-05-20,12:15,Read,P1161,System
NTF00494,System Update,System maintenance and backup completed successfully.,System,Medium,2026-06-29,11:30,Unread,P1390,System
NTF00495,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407944.,Fraud Alert,Low,2026-05-12,13:45,Read,P1447,System
NTF00496,Medicine Expiring Soon,Atorvastatin 10mg will expire within 27 days.,Expiry Alert,High,2026-07-03,07:45,Unread,P1013,Pharmacist
NTF00497,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-07-28,12:45,Unread,P1044,Admin
NTF00498,New Prescription Added,New prescription added for patient P1360.,Prescription,Medium,2026-05-16,17:00,Unread,P1358,System
NTF00499,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407494.,Fraud Alert,Low,2026-05-31,21:00,Read,P1473,Admin
NTF00500,System Update,System maintenance and backup completed successfully.,System,High,2026-05-04,09:00,Unread,P1489,Admin
